id	status	old_name	new_name	author	year	topic	tier	wave	seq	conf	notes	words
049	RENAMED	BYOL.md	grill-2020-byol-self-supervised.md	grill	2020	ssl-representation	M	7	160	H	arXiv 2006.07733 (June 2020), NeurIPS 2020 - confirmed by web search	6490
050	RENAMED	Baba Is AI Break the Rules to Beat the Benchmark.md	cloos-2024-baba-is-ai-benchmark.md	cloos	2024	rule-induction	B	10	231	H	NEW TOPIC rule-induction; agent must rewrite the rules to win	2660
051	RENAMED	Baby Intuitions Benchmark (BIB) Discerning the goals, preferences, and actions of others.md	gandhi-2021-baby-intuitions-benchmark.md	gandhi	2021	reasoning-eval	B	10	216	H	NeurIPS 2021; infant-style goal/preference reasoning	7063
052	RENAMED	Basal_Ganglia_and_Cortex.md	bogacz-2007-basal-ganglia-optimal-decisions.md	bogacz	2007	rl-planning	M	6	140	H	Neural Computation 19(2):442-477, 2007 confirmed by web search (Bogacz & Gurney)	11749
053	RENAMED	Benchmarking Benchmark Leakage in Large Language Models.md	xu-2024-benchmark-leakage-llms.md	xu	2024	reasoning-eval	R	10	229	H	arXiv 2404.18824; contamination undermines all eval claims	37755
054	RENAMED	Bio-inspired computational memory model of the Hippocampus An approach to a neuromorphic spike-based Content-Addressable Memory.md	casanuevamorato-2024-hippocampus-neuromorphic-cam.md	casanueva-morato	2024	spiking-neuromorphic	M	11	242	H	first author Daniel Casanueva-Morato confirmed by web search; Neural Networks 2024, doi 10.1016/j.neunet.2024.106474 (full-file grep). Compound surname collapsed per the id 204 (zhixuan) precedent.	9524
055	RENAMED	Biologically inspired heterogeneous learning for accurate, efficient and low-latency neural network.md	wang-2024-heterogeneous-snn-learning.md	wang	2024	spiking-neuromorphic	M	11	243	H	autapse + neuron heterogeneity; bi-level programming	8665
056	RENAMED	Bistability of prefrontal states gates access to consciousness.md	dwarakanath-2023-prefrontal-bistability-consciousness.md	dwarakanath	2023	consciousness-global-workspace	R	12	277	H	bioRxiv v4 2023-03-22; macaque PFC ignition dynamics	10133
057	RENAMED	Brain-inspired learning in artificial neural networks- a review.md	schmidgall-2023-brain-inspired-learning-anns.md	schmidgall	2023	foundations	S	0	3	M	arXiv 2305.11252 (May 2023) confirmed by web search; journal version APL Machine Learning 2(2):021501 (2024). Preprint year kept - this capture is the arXiv version.	8593
058	RENAMED	CONTINUAL REINFORCEMENT LEARNING.md	kessler-2023-world-models-continual-rl.md	kessler	2023	continual-learning	R	13	288	H	CoLLAs 2023 stated in file	12460
059	RENAMED	Canonical microcircuits for predictive coding.md	bastos-2012-canonical-microcircuits.md	bastos	2012	predictive-coding	F	6	123	H	Neuron 76(4):695; dropped predictive-coding from slug - topic column carries it	10696
060	RENAMED	Challenging the Boundaries of Reasoning An Olympiad-Level Math Benchmark for Large Language Models.md	sun-2025-olymmath-benchmark.md	sun	2025	reasoning-eval	B	10	223	H	arXiv 2503.21380; olympiad-level math, EN/ZH parallel	5600
061	RENAMED	Closed-form continuous-time neural networks - Nature Machine Intelligence.md	hasani-2022-closed-form-continuous-time-nets.md	hasani	2022	sequence-models	M	8	173	H	liquid / continuous-time nets; no cluster yet - revisit in pass 4	9434
062	RENAMED	Cognitive control over learning Creating, clustering and generalizing task-set structure.md	collins-2013-task-set-structure-learning.md	collins	2013	prefrontal-control	M	5	111	H	Psychol Rev 120(1):190; C-TS nonparametric Bayesian task-set model	24492
063	RENAMED	Complementary Learning Systems.md	oreilly-2011-complementary-learning-systems.md	oreilly	2011	continual-learning	S	13	284	H	CLS retrospective; also core to hippocampal-entorhinal - cross-link at ingest	6977
064	RENAMED	Compositional Neuro-Symbolic Reasoning.md	das-2025-compositional-neurosymbolic-arc.md	das	2025	neurosymbolic	M	9	184	M	CoreThink AI preprint 'Beyond Brute Force: A Neuro-Symbolic Architecture for Compositional Reasoning in ARC-AGI-2', A. Das et al. 2025; GitHub preprint, no arXiv id	8472
065	RENAMED	Compositionality_decomposed.md	hupkes-2020-compositionality-decomposed.md	hupkes	2020	analogy-abstraction	F	9	188	H	JAIR 67 (2020); five operational tests of compositionality	19777
066	RENAMED	Conscious Processing and the Global Neuronal Workspace Hypothesis.md	mashour-2020-global-neuronal-workspace.md	mashour	2020	consciousness-global-workspace	S	12	272	H	Neuron 105(5):776; canonical GNW review	13698
067	RENAMED	Contextual inference underlies the learning of sensorimotor repertoires.md	heald-2021-contextual-inference-sensorimotor.md	heald	2021	latent-graph	M	1	17	H	Nature 600:489; COIN model - context inference as latent-structure discovery	14965
068	RENAMED	Controlling Recurrent Neural Networks by Conceptors.md	jaeger-2014-conceptors.md	jaeger	2014	analogy-abstraction	F	9	187	H	arXiv 1403.3369 (March 2014), Herbert Jaeger sole author - confirmed by web search	67866
069	RENAMED	Convergent brain structures for spatial memory.md	chat-nd-convergent-spatial-memory.md	chat	nd	evolution-comparative	X	14	300	H	NEW PREFIX chat- : Claude conversation transcript, not a published source; brainstorm material only	1614
070	RENAMED	Cooperative actions of interneuron families support the hippocampal spatial code.md	valero-2025-interneurons-hippocampal-spatial-code.md	valero	2025	hippocampal-entorhinal	R	2	47	H	Science 389(6764):eadv5638	8591
071	RENAMED	Core knowledge.md	spelke-2007-core-knowledge.md	spelke	2007	foundations	F	0	6	H	Wave 0 anchor; core-knowledge priors are what ARC-AGI assumes	3738
072	RENAMED	DINOv2 Learning Robust Visual Features without Supervision.md	oquab-2023-dinov2.md	oquab	2023	ssl-representation	M	7	163	H	arXiv 2304.07193	11864
073	RENAMED	DINOv3.md	simeoni-2025-dinov3.md	simeoni	2025	ssl-representation	M	7	165	H	arXiv 2508.10104	17085
074	RENAMED	Darwins mistake.md	penn-2008-darwins-mistake-discontinuity.md	penn	2008	evolution-comparative	F	14	298	H	BBS 31:109; relational reasoning as the human/nonhuman discontinuity	65333
075	RENAMED	Decoding internally generated transitions of conscious contents in the prefrontal cortex without subjective reports.md	kapoor-2022-conscious-transitions-pfc.md	kapoor	2022	consciousness-global-workspace	R	12	276	H	no-report paradigm; companion to id 056	12254
076	RENAMED	Deconstructing deep active inference.md	champion-2023-deconstructing-deep-active-inference.md	champion	2023	active-inference	M	6	131	H	arXiv 2303.01618 (2023) confirmed by web search; journal version Neural Computation 36(11), 2024	29239
077	RENAMED	Deep Learning in Spiking Neural Networks.md	tavanaei-2019-deep-learning-snn.md	tavanaei	2019	spiking-neuromorphic	S	11	235	H	first author Amirhossein Tavanaei confirmed by web search; Neural Networks 111:47-63, 2019	10449
078	RENAMED	Deep brain stimulation of the internal capsule enhances human cognitive control and prefrontal cortex function.md	widge-2019-dbs-internal-capsule-cognitive-control.md	widge	2019	prefrontal-control	R	5	116	H	Nat Commun 2019; DBS = deep brain stimulation -> glossary	8538
079	RENAMED	Default mode network functional connectivity as a transdiagnostic biomarker of cognitive function.md	tripathi-2025-dmn-connectivity-biomarker.md	tripathi	2025	default-mode	R	12	270	H	Biol Psychiatry CNNI 2025	4699
080	RENAMED	Default-Mode-Network-anatomy.md	buckner-2008-default-network-anatomy.md	buckner	2008	default-mode	S	12	263	H	Ann NY Acad Sci 1124:1-38, 2008 confirmed by web search; doi 10.1196/annals.1440.011	19457
081	RENAMED	Dendrites endow artificial neural networks with accurate, robust and parameter-efficient learning.md	chavlis-2025-dendritic-anns.md	chavlis	2025	neuron-models	M	3	60	H	Nat Commun 2025. New topic neuron-models - provisional singleton, may merge into plasticity	7991
082	RENAMED	Development of non-spatial grid-like neural codes tracks inference and intelligence.md	qu-2026-grid-codes-inference-intelligence.md	qu	2026	hippocampal-entorhinal	R	2	49	H	YEAR CORRECTED 2025 -> 2026: full-file grep found 'Accepted: February 27, 2026  Published: March 25, 2026', doi 10.1016/j.cell.2026.02.028	9900
083	RENAMED	Do AI Models Perform Human-like Abstract Reasoning Across Modalities?.md	beger-2025-conceptarc-abstract-reasoning-modalities.md	beger	2025	arc-benchmarks	R	10	212	H	arXiv 2510.02125; Mitchell lab ConceptARC eval across modalities	10841
084	RENAMED	Do LLMs Overcome Shortcut Learning? An Evaluation of Shortcut Challenges in Large Language Models.md	yuan-2024-llm-shortcut-learning.md	yuan	2024	reasoning-eval	R	10	230	H	arXiv 2410.13343; Shortcut Suite	5527
085	RENAMED	Do We Know What the Early Visual System Does? 1.md	carandini-2005-early-visual-system.md	carandini	2005	visual-cortex	S	12	281	H	J Neurosci 2005. New topic visual-cortex (also id 129)	21697
086	RENAMED	Does the Prefrontal Cortex Play an Essential Role in Consciousness? Insights from Intracranial Electrical Stimulation of the Human Brain.md	raccah-2021-pfc-consciousness-stimulation.md	raccah	2021	consciousness-global-workspace	S	12	273	H	J Neurosci 2021; intracranial electrical stimulation evidence against PFC-essential views	8134
087	RENAMED	Dynamic Network Connectivity A New Form of Neuroplasticity.md	arnsten-2010-dynamic-network-connectivity.md	arnsten	2010	prefrontal-control	F	5	107	H	Trends Cogn Sci 2010	5296
088	RENAMED	Dynamics of Adaptive Continuous Attractor Neural Networks.md	li-2024-adaptive-cann-dynamics.md	li	2024	attractor-dynamics	M	3	54	H	first author Yujun Li (with Tianhao Chu, Si Wu) confirmed by web search; arXiv 2410.06517, Oct 2024	11162
089	RENAMED	Efficient event-based delay learning in spiking neural networks.md	meszaros-2025-snn-delay-learning.md	meszaros	2025	spiking-neuromorphic	M	11	244	H	Nat Commun 2025; EventProp-based exact gradients wrt delays	7552
090	RENAMED	Emergent Linear Representations in World Models of Self-Supervised Sequence Models.md	nanda-2023-linear-representations-othello.md	nanda	2023	world-models	R	7	155	H	arXiv 2309.00941; mech-interp method but the payload is world-model representation	4448
091	RENAMED	Equilibrium Propagation Bridging the Gap between Energy-Based Models and Backpropagation.md	scellier-2017-equilibrium-propagation.md	scellier	2017	plasticity	M	4	70	H	Front Comput Neurosci 2017	8984
092	RENAMED	Evaluating Understanding on Conceptual Abstraction Benchmarks.md	odouard-2022-conceptual-abstraction-benchmarks.md	odouard	2022	arc-benchmarks	F	10	207	M	'(c) 2022' found by full-file grep; arXiv 2206.14187	3300
093	RENAMED	Expected Free Energy as Belief-Dependent Utility for rho-POMDPs.md	cooper-2026-efe-belief-dependent-utility.md	cooper	2026	active-inference	F	6	129	H	arXiv 2607.16981; EFE = expected free energy -> glossary	9526
094	RENAMED	Expected Free Energy-based Planning as Variational Inference.md	nuijten-2026-efe-planning-variational-inference.md	nuijten	2026	active-inference	M	6	132	H	arXiv 2606.20658	7334
095	RENAMED	Exploring the cognitive and motor functions of the basal ganglia an integrative review of computational cognitive neuroscience models.md	helie-2013-basal-ganglia-cognitive-models.md	helie	2013	rl-planning	S	6	136	H	Front Comput Neurosci 2013; pairs with id 052 bogacz	11389
096	RENAMED	Exploring the network dynamics underlying brain activity during rest.md	cabral-2013-resting-state-network-dynamics.md	cabral	2013	brain-networks	S	12	249	H	Prog Neurobiol 2013	18557
097	RENAMED	Fact Finding Attempting to Reverse-Engineer Factual Recall on the Neuron Level (Post 1) — AI Alignment Forum.md	nanda-2023-fact-finding-1-factual-recall.md	nanda	2023	mech-interp	R	13	292	H	AI Alignment Forum post 1 of 5. New topic mech-interp (ids 097-100)	6460
098	RENAMED	Fact Finding Do Early Layers Specialise in Local Processing? (Post 5) — AI Alignment Forum.md	nanda-2023-fact-finding-5-early-layers.md	nanda	2023	mech-interp	R	13	291	H	AI Alignment Forum post 5 of 5	1695
099	RENAMED	Fact Finding How to Think About Interpreting Memorisation (Post 4) — AI Alignment Forum.md	rajamanoharan-2023-fact-finding-4-memorisation.md	rajamanoharan	2023	mech-interp	F	13	290	H	AI Alignment Forum post 4 of 5	3309
100	RENAMED	Fact Finding Simplifying the Circuit (Post 2) — AI Alignment Forum.md	rajamanoharan-2023-fact-finding-2-circuit.md	rajamanoharan	2023	mech-interp	R	13	293	H	AI Alignment Forum post 2 of 5	14258
101	RENAMED	Fact Finding Trying to Mechanistically Understanding Early MLPs (Post 3) — AI Alignment Forum.md	nanda-2023-fact-finding-3-early-mlps.md	nanda	2023	mech-interp	R	13	289	H	AI Alignment Forum post 3 of 5	5535
102	RENAMED	Fast and flexible- Human program induction in abstract reasoning tasks.md	johnson-2021-human-program-induction-arc.md	johnson	2021	arc-benchmarks	R	10	211	H	CogSci 2021 / arXiv 2103.05823 confirmed by web search (Aysja Johnson, Vong, Lake, Gureckis)	5115
103	RENAMED	Fluxx5.0Rules_0.md	looneylabs-nd-fluxx-rules.md	looneylabs	nd	rule-induction	B	10	232	M	game rulebook, no author or date; org slug Looney Labs. Fluxx 5.0. Pairs with ids 181 (Nomic) and 197 (Batman Fluxx)	1414
104	RENAMED	From descriptive connectome to mechanistic connectome Generative modeling in functional magnetic resonance imaging analysis.md	li-2022-mechanistic-connectome-generative-models.md	li	2022	brain-networks	S	12	251	H	Front Hum Neurosci 2022; Guoshi Li	8736
105	RENAMED	Frontal Networks for Learning and Executing Arbitrary Stimulus-Response Associations.md	boettiger-2005-frontal-stimulus-response-learning.md	boettiger	2005	prefrontal-control	R	5	112	H	J Neurosci 2005	7363
106	RENAMED	Frontal cortex and the discovery of abstract action rules.md	badre-2010-frontal-abstract-action-rules.md	badre	2010	prefrontal-control	R	5	113	H	Neuron 2010	9244
107	RENAMED	FrontierMath A Benchmark for Evaluating Advanced Mathematical Reasoning in AI.md	glazer-2024-frontiermath-benchmark.md	glazer	2024	reasoning-eval	B	10	222	H	arXiv 2411.04872; Epoch AI	14871
108	RENAMED	Functional connectivity-based attractor dynamics of the human brain in rest, task, and disease 2.md	englert-2026-brain-attractor-dynamics.md	englert	2026	attractor-dynamics	R	3	56	H	eLife 2026; Hopfield-style analysis of fMRI connectivity. Pairs with id 088	16125
109	RENAMED	Functional specialization of mPFC-BLA and mPFC-NAc pathways in affective state representation.md	lai-2026-mpfc-bla-nac-affective-pathways.md	lai	2026	prefrontal-control	R	5	121	H	eLife reviewed preprint 2026. BLA = basolateral amygdala, NAc = nucleus accumbens -> glossary	11740
110	RENAMED	GNW theoretical framework and the adversarial testing of global neuronal workspace and integrated information theories of consciousness.md	naccache-2025-gnw-adversarial-testing.md	naccache	2025	consciousness-global-workspace	F	12	275	H	2025; GNW = global neuronal workspace -> glossary. Dehaene co-author; response to the IIT/GNW adversarial collaboration	2241
111	RENAMED	GPQA.md	rein-2023-gpqa-benchmark.md	rein	2023	reasoning-eval	B	10	221	H	arXiv 2311.12022 (2023) confirmed by web search	7831
112	RENAMED	GSM-Plus A Comprehensive Benchmark for Evaluating the Robustness of LLMs as Mathematical Problem Solvers.md	li-2024-gsm-plus-benchmark.md	li	2024	reasoning-eval	B	10	219	H	arXiv 2402.19255; Qintong Li	2365
113	RENAMED	GSM-Symbolic Understanding the Limitations of Mathematical Reasoning in Large Language Models.md	mirzadeh-2024-gsm-symbolic-benchmark.md	mirzadeh	2024	reasoning-eval	B	10	220	H	arXiv 2410.05229; Apple	5909
114	RENAMED	Gamma and beta bursts during working memory readout suggest roles in its volitional control.md	lundqvist-2018-gamma-beta-bursts-working-memory.md	lundqvist	2018	working-memory	R	5	92	H	Nat Commun 2018; Miller lab	8872
115	RENAMED	Geometry of abstract learned knowledge in the hippocampus.md	nieh-2021-hippocampus-abstract-knowledge-geometry.md	nieh	2021	hippocampal-entorhinal	R	2	41	H	Nature 2021	11814
116	RENAMED	HLE-Verified A Systematic Verification and Structured Revision of Humanity’s Last Exam.md	zhai-2026-hle-verified.md	zhai	2026	reasoning-eval	B	10	227	H	arXiv 2602.13964. HLE = Humanity's Last Exam -> glossary. Critique/revision of id 009 / 117	9480
117	RENAMED	HLE.md	phan-2025-humanitys-last-exam.md	phan	2025	reasoning-eval	B	10	225	H	arXiv 2501.14249 (Jan 2025) - the preprint capture; the Nature 2026 version is id 009. The year now distinguishes the two, so the -b collision suffix is dropped.	5821
118	RENAMED	Hebbian theory.md	wikipedia-nd-hebbian-theory.md	wikipedia	nd	plasticity	S	4	65	H	Wikipedia article, undated; follows precedent of id 040	3029
119	RENAMED	HiT-JEPA A Hierarchical Self-supervised Trajectory Embedding Framework for Similarity Computation.md	li-2025-hit-jepa-trajectory-embedding.md	li	2025	ssl-representation	M	7	166	H	arXiv 2507.00028; Lihuan Li. JEPA applied to urban trajectories - peripheral to reasoning, candidate wave 99	5936
120	RENAMED	Hidden state inference requires abstract contextual representations in ventral hippocampus.md	mishchanchuk-2024-ventral-hippocampus-hidden-state.md	mishchanchuk	2024	hippocampal-entorhinal	R	2	45	H	2024; ventral hippocampus needed for hidden-state inference in mice	10919
121	RENAMED	Hierarchically organized behavior and its neural foundations A reinforcement learning perspective.md	botvinick-2008-hierarchical-rl-behavior.md	botvinick	2008	rl-planning	F	6	139	H	Cognition 2008; Botvinick/Niv/Barto, hierarchical RL	8920
122	RENAMED	High Capacity and Dynamic Accessibility in Associative Memory Networks with Context-Dependent Neuronal and Synaptic Gating.md	podlaski-2025-gated-associative-memory-capacity.md	podlaski	2025	attractor-dynamics	M	3	55	H	Phys Rev X 2025; context-dependent neuronal and synaptic gating	13255
123	RENAMED	High-capacity flexible hippocampal associative and episodic memory enabled by prestructured “spatial” representations.md	chandra-2023-prestructured-hippocampal-memory.md	chandra	2023	hippocampal-entorhinal	M	2	31	H	bioRxiv 2023.11.28.568960; Fiete lab	33081
124	RENAMED	Higher-order thalamic input to cortex selectively conveys state information.md	neske-2025-higher-order-thalamic-state-input.md	neske	2025	thalamocortical	R	12	280	H	2025 (Cardin lab). New topic thalamocortical (ids 124, 212)	11913
125	RENAMED	Hippocampal remapping as hidden state inference.md	sanders-2020-remapping-hidden-state-inference.md	sanders	2020	hippocampal-entorhinal	F	2	25	H	2020; Gershman co-author. Direct pair with id 120	15908
126	RENAMED	Hippocampal-Prefrontal Interactions in Cognition, Behavior and Psychiatric Disease.md	sigurdsson-2016-hippocampal-prefrontal-interactions.md	sigurdsson	2016	prefrontal-control	S	5	104	H	Front Syst Neurosci 2016 (2015.00190); HPC-PFC interaction review, psychiatric angle	10178
127	RENAMED	Hippoformer_Integrating.md	li-2026-hippoformer-spatial-memory-transformer.md	li	2026	hippocampal-entorhinal	M	2	34	M	ICLR 2026; Li/Cao equal contribution, first-listed used; hippocampal spatial priors in transformer KV memory	7758
128	RENAMED	Hopfield Networks Neural Memory Machines.md	crouse-2022-hopfield-networks-memory-machines.md	crouse	2022	attractor-dynamics	X	3	57	H	Towards Data Science blog 2022; tutorial + from-scratch python	5708
129	RENAMED	How does the brain solve visual object recognition.md	dicarlo-2012-brain-visual-object-recognition.md	dicarlo	2012	visual-cortex	S	12	282	H	Neuron 2012;73(3):415-434; core object recognition, IT population code	13217
